train_cell_line,test_cell_line,f1_scores,test_time,confusion
K562,GM12878,0.74144,5.21324,"[[585, 52], [356, 281]]"
K562,GM12878,0.64593,5.21259,"[[405, 232], [212, 425]]"
K562,GM12878,0.69166,5.22014,"[[452, 185], [218, 419]]"
K562,HUVEC,0.68982,5.7573,"[[427, 278], [106, 599]]"
K562,HUVEC,0.76235,5.76126,"[[648, 56], [348, 356]]"
K562,HUVEC,0.77029,5.76193,"[[560, 144], [190, 514]]"
K562,HUVEC,0.78743,5.7633,"[[639, 65], [280, 424]]"
K562,HUVEC,0.66452,5.76265,"[[413, 291], [126, 578]]"
K562,HUVEC,0.69048,5.76445,"[[435, 269], [121, 583]]"
K562,HeLa-S3,0.73235,2.8935,"[[223, 132], [31, 324]]"
K562,HeLa-S3,0.79805,2.91084,"[[328, 26], [140, 214]]"
K562,HeLa-S3,0.83003,2.90371,"[[293, 61], [59, 295]]"
K562,HeLa-S3,0.83929,2.90546,"[[329, 25], [101, 253]]"
K562,HeLa-S3,0.74485,2.90339,"[[235, 119], [42, 312]]"
K562,HeLa-S3,0.79576,2.9061,"[[263, 91], [44, 310]]"
K562,K562,0.65342,2.09524,"[[148, 108], [49, 207]]"
K562,K562,0.69243,2.09957,"[[224, 31], [168, 87]]"
K562,K562,0.76155,2.10218,"[[206, 49], [80, 175]]"
K562,K562,0.74026,2.10272,"[[228, 27], [133, 122]]"
K562,K562,0.7113,2.10212,"[[170, 85], [53, 202]]"
K562,K562,0.74651,2.09861,"[[187, 68], [59, 196]]"
combined,combined,0.79538,16.10427,"[[1720, 261], [624, 1357]]"
combined,combined,0.79909,16.20699,"[[1750, 230], [650, 1330]]"
combined,combined,0.78439,16.19099,"[[1719, 261], [684, 1296]]"
combined,combined,0.80273,16.19072,"[[1703, 277], [560, 1420]]"
combined,combined,0.7959,16.17692,"[[1823, 157], [778, 1202]]"
combined,combined,0.79686,16.19238,"[[1826, 154], [777, 1203]]"
